"","ID","stimid","rt","response","correct_response","orig_corr_tot","invt_corr_tot","orig_err_tot","invt_err_tot","orig_corr_pct","invt_corr_pct"
"303",9991,39.3,876.17,0,0,29,26,14,17,67.44,60.47
"264",9991,40.2,772.26,0,1,29,26,14,17,67.44,60.47
"279",9991,40.3,1508.45,0,0,29,26,14,17,67.44,60.47
"190",9991,41.2,580.37,1,1,29,26,14,17,67.44,60.47
"198",9991,41.3,820.23,1,0,29,26,14,17,67.44,60.47
"289",9991,42.2,917.22,1,1,29,26,14,17,67.44,60.47
"226",9991,42.3,1115.24,1,0,29,26,14,17,67.44,60.47
"313",9991,43.2,1003.8,1,1,29,26,14,17,67.44,60.47
"192",9991,43.3,1003.35,1,0,29,26,14,17,67.44,60.47
"325",9991,44.2,1324.06,0,1,29,26,14,17,67.44,60.47
"260",9991,44.3,843.8,0,0,29,26,14,17,67.44,60.47
"252",9991,45.2,763.65,0,1,29,26,14,17,67.44,60.47
"349",9991,45.3,1278.54,0,0,29,26,14,17,67.44,60.47
"317",9991,46.2,619.46,0,1,29,26,14,17,67.44,60.47
"184",9991,46.31,517.9,1,0,29,26,14,17,67.44,60.47
